Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0102,R1922011,STRENGTH OF MATERIALS-II,12,F,0.0
19B81A0102,R1922012,HYDRAULICS AND HYDRAULIC MACHINERY,19,F,0.0
19B81A0102,R1922013,ENGINEERING GEOLOGY,13,F,0.0
19B81A0102,R1922015,ENVIRONMENTAL ENGINEERING-I,12,F,0.0
19B81A0105,R1922011,STRENGTH OF MATERIALS-II,19,F,0.0
19B81A0115,R1922011,STRENGTH OF MATERIALS-II,15,F,0.0
19B81A0117,R1922011,STRENGTH OF MATERIALS-II,14,F,0.0
19B81A0117,R1922015,ENVIRONMENTAL ENGINEERING-I,15,F,0.0
19B81A0121,R1922011,STRENGTH OF MATERIALS-II,15,F,0.0
19B81A0121,R1922012,HYDRAULICS AND HYDRAULIC MACHINERY,11,F,0.0
19B81A0121,R1922013,ENGINEERING GEOLOGY,14,F,0.0
19B81A0127,R1922011,STRENGTH OF MATERIALS-II,13,F,0.0
19B81A0127,R1922012,HYDRAULICS AND HYDRAULIC MACHINERY,17,ABSENT,0.0
19B81A0138,R1922013,ENGINEERING GEOLOGY,15,F,0.0
19B81A0202,R1922022,ELECTRICAL MACHINES-II,18,F,0.0
19B81A0202,R1922023,DIGITAL ELECTRONICS,16,F,0.0
19B81A0202,R1922024,CONTROL SYSTEMS,11,F,0.0
19B81A0202,R1922026,SIGNALS AND SYSTEMS,21,F,0.0
19B81A0204,R1922023,DIGITAL ELECTRONICS,19,F,0.0
19B81A0206,R1922023,DIGITAL ELECTRONICS,23,C,3.0
19B81A0209,R1922023,DIGITAL ELECTRONICS,21,F,0.0
19B81A0209,R1922026,SIGNALS AND SYSTEMS,20,F,0.0
19B81A0210,R1922022,ELECTRICAL MACHINES-II,18,F,0.0
19B81A0210,R1922026,SIGNALS AND SYSTEMS,21,F,0.0
19B81A0218,R1922023,DIGITAL ELECTRONICS,19,F,0.0
19B81A0219,R1922023,DIGITAL ELECTRONICS,21,C,3.0
19B81A0221,R1922023,DIGITAL ELECTRONICS,20,D,3.0
19B81A0221,R1922024,CONTROL SYSTEMS,18,F,0.0
19B81A0221,R1922025,POWER SYSTEMS-I,21,F,0.0
19B81A0223,R1922023,DIGITAL ELECTRONICS,22,D,3.0
19B81A0223,R1922024,CONTROL SYSTEMS,16,C,3.0
19B81A0223,R1922026,SIGNALS AND SYSTEMS,20,F,0.0
19B81A0224,R1922023,DIGITAL ELECTRONICS,22,ABSENT,0.0
19B81A0226,R1922023,DIGITAL ELECTRONICS,21,F,0.0
19B81A0226,R1922024,CONTROL SYSTEMS,18,D,3.0
19B81A0227,R1922023,DIGITAL ELECTRONICS,22,F,0.0
19B81A0228,R1922023,DIGITAL ELECTRONICS,21,D,3.0
19B81A0229,R1922022,ELECTRICAL MACHINES-II,16,F,0.0
19B81A0229,R1922023,DIGITAL ELECTRONICS,19,F,0.0
19B81A0229,R1922024,CONTROL SYSTEMS,15,D,3.0
19B81A0229,R1922026,SIGNALS AND SYSTEMS,23,ABSENT,0.0
19B81A0231,R1922023,DIGITAL ELECTRONICS,21,F,0.0
19B81A0231,R1922024,CONTROL SYSTEMS,16,F,0.0
19B81A0232,R1922023,DIGITAL ELECTRONICS,21,F,0.0
19B81A0232,R1922024,CONTROL SYSTEMS,18,B,3.0
19B81A0233,R1922023,DIGITAL ELECTRONICS,20,F,0.0
19B81A0233,R1922024,CONTROL SYSTEMS,18,F,0.0
19B81A0233,R1922026,SIGNALS AND SYSTEMS,21,C,3.0
19B81A0234,R1922023,DIGITAL ELECTRONICS,22,C,3.0
19B81A0238,R1922024,CONTROL SYSTEMS,19,C,3.0
19B81A0243,R1922022,ELECTRICAL MACHINES-II,20,D,3.0
19B81A0243,R1922023,DIGITAL ELECTRONICS,21,D,3.0
19B81A0243,R1922024,CONTROL SYSTEMS,19,F,0.0
19B81A0243,R1922026,SIGNALS AND SYSTEMS,20,F,0.0
19B81A0246,R1922026,SIGNALS AND SYSTEMS,20,C,3.0
19B81A0247,R1922026,SIGNALS AND SYSTEMS,22,C,3.0
19B81A0248,R1922022,ELECTRICAL MACHINES-II,21,D,3.0
19B81A0248,R1922024,CONTROL SYSTEMS,20,C,3.0
19B81A0248,R1922025,POWER SYSTEMS-I,22,F,0.0
19B81A0249,R1922024,CONTROL SYSTEMS,9,C,3.0
19B81A0253,R1922024,CONTROL SYSTEMS,17,F,0.0
19B81A0253,R1922025,POWER SYSTEMS-I,20,F,0.0
19B81A0255,R1922022,ELECTRICAL MACHINES-II,21,D,3.0
19B81A0255,R1922024,CONTROL SYSTEMS,18,D,3.0
19B81A0256,R1922024,CONTROL SYSTEMS,13,D,3.0
19B81A0256,R1922025,POWER SYSTEMS-I,18,D,3.0
19B81A0256,R1922026,SIGNALS AND SYSTEMS,24,C,3.0
19B81A0262,R1922022,ELECTRICAL MACHINES-II,20,F,0.0
19B81A0262,R1922023,DIGITAL ELECTRONICS,20,F,0.0
19B81A0262,R1922024,CONTROL SYSTEMS,14,D,3.0
19B81A0264,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,23,C,3.0
19B81A0270,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,19,ABSENT,0.0
19B81A0270,R1922022,ELECTRICAL MACHINES-II,18,F,0.0
19B81A0270,R1922023,DIGITAL ELECTRONICS,19,F,0.0
19B81A0270,R1922024,CONTROL SYSTEMS,10,F,0.0
19B81A0270,R1922025,POWER SYSTEMS-I,18,F,0.0
19B81A0270,R1922026,SIGNALS AND SYSTEMS,13,ABSENT,0.0
19B81A0274,R1922023,DIGITAL ELECTRONICS,21,F,0.0
19B81A0274,R1922026,SIGNALS AND SYSTEMS,20,F,0.0
19B81A0275,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,18,F,0.0
19B81A0275,R1922024,CONTROL SYSTEMS,11,F,0.0
19B81A0275,R1922025,POWER SYSTEMS-I,16,ABSENT,0.0
19B81A0275,R1922026,SIGNALS AND SYSTEMS,12,ABSENT,0.0
19B81A0276,R1922022,ELECTRICAL MACHINES-II,21,D,3.0
19B81A0276,R1922023,DIGITAL ELECTRONICS,20,F,0.0
19B81A0276,R1922025,POWER SYSTEMS-I,19,C,3.0
19B81A0276,R1922026,SIGNALS AND SYSTEMS,21,F,0.0
19B81A0278,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,22,C,3.0
19B81A0278,R1922022,ELECTRICAL MACHINES-II,19,F,0.0
19B81A0278,R1922023,DIGITAL ELECTRONICS,20,ABSENT,0.0
19B81A0278,R1922024,CONTROL SYSTEMS,13,F,0.0
19B81A0278,R1922025,POWER SYSTEMS-I,17,C,3.0
19B81A0278,R1922026,SIGNALS AND SYSTEMS,18,F,0.0
19B81A0279,R1922023,DIGITAL ELECTRONICS,20,F,0.0
19B81A0279,R1922026,SIGNALS AND SYSTEMS,18,F,0.0
19B81A0281,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,23,C,3.0
19B81A0281,R1922023,DIGITAL ELECTRONICS,22,D,3.0
19B81A0284,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,21,F,0.0
19B81A0284,R1922022,ELECTRICAL MACHINES-II,19,ABSENT,0.0
19B81A0284,R1922023,DIGITAL ELECTRONICS,21,F,0.0
19B81A0284,R1922024,CONTROL SYSTEMS,13,F,0.0
19B81A0284,R1922025,POWER SYSTEMS-I,17,F,0.0
19B81A0284,R1922026,SIGNALS AND SYSTEMS,20,F,0.0
19B81A0285,R1922023,DIGITAL ELECTRONICS,21,F,0.0
19B81A0287,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,5,F,0.0
19B81A0287,R1922022,ELECTRICAL MACHINES-II,5,F,0.0
19B81A0287,R1922023,DIGITAL ELECTRONICS,5,F,0.0
19B81A0287,R1922024,CONTROL SYSTEMS,8,F,0.0
19B81A0287,R1922025,POWER SYSTEMS-I,15,F,0.0
19B81A0287,R1922026,SIGNALS AND SYSTEMS,5,ABSENT,0.0
19B81A0291,R1922022,ELECTRICAL MACHINES-II,24,F,0.0
19B81A0291,R1922023,DIGITAL ELECTRONICS,20,D,3.0
19B81A0291,R1922024,CONTROL SYSTEMS,22,D,3.0
19B81A0291,R1922025,POWER SYSTEMS-I,17,F,0.0
19B81A0292,R1922025,POWER SYSTEMS-I,20,C,3.0
19B81A0293,R1922022,ELECTRICAL MACHINES-II,21,D,3.0
19B81A0293,R1922023,DIGITAL ELECTRONICS,21,C,3.0
19B81A0293,R1922024,CONTROL SYSTEMS,19,C,3.0
19B81A0293,R1922025,POWER SYSTEMS-I,19,C,3.0
19B81A0294,R1922021,ELECTRICAL MEASUREMENTS & INSTRUMENTATIO,20,D,3.0
19B81A0294,R1922022,ELECTRICAL MACHINES-II,19,F,0.0
19B81A0294,R1922023,DIGITAL ELECTRONICS,19,F,0.0
19B81A0294,R1922024,CONTROL SYSTEMS,16,F,0.0
19B81A0294,R1922025,POWER SYSTEMS-I,18,F,0.0
19B81A0294,R1922026,SIGNALS AND SYSTEMS,20,ABSENT,0.0
19B81A0302,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,16,F,0.0
