Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0105,R1921012,STRENGTH OF MATERIALS-I,15,F,0.0
19B81A0110,R1921011,COMPLEX VARIABLES AND STATISTICAL METHOD,14,F,0.0
19B81A0110,R1921012,STRENGTH OF MATERIALS-I,11,F,0.0
19B81A0110,R1921013,FLUID MECHANICS,13,F,0.0
19B81A0110,R1921014,SURVEYING AND GEOMETRICS,11,F,0.0
19B81A0110,R1921016,TRANSPORTATION ENGINEERING-I,11,F,0.0
19B81A0112,R1921013,FLUID MECHANICS,11,F,0.0
19B81A0115,R1921012,STRENGTH OF MATERIALS-I,12,F,0.0
19B81A0115,R1921016,TRANSPORTATION ENGINEERING-I,10,F,0.0
19B81A0116,R1921011,COMPLEX VARIABLES AND STATISTICAL METHOD,12,F,0.0
19B81A0116,R1921016,TRANSPORTATION ENGINEERING-I,11,F,0.0
19B81A0117,R1921011,COMPLEX VARIABLES AND STATISTICAL METHOD,14,F,0.0
19B81A0117,R1921012,STRENGTH OF MATERIALS-I,15,F,0.0
19B81A0118,R1921013,FLUID MECHANICS,15,F,0.0
19B81A0125,R1921012,STRENGTH OF MATERIALS-I,17,F,0.0
19B81A0133,R1921012,STRENGTH OF MATERIALS-I,13,F,0.0
19B81A0139,R1921011,COMPLEX VARIABLES AND STATISTICAL METHOD,13,F,0.0
19B81A0202,R1921021,ELECTRICAL CIRCUIT ANALYSIS - II,13,F,0.0
19B81A0202,R1921022,ELECTRICAL MACHINES-I,8,F,0.0
19B81A0202,R1921023,ELECTRONIC DEVICES AND CIRCUITS,11,F,0.0
19B81A0202,R1921024,ELECTRO MAGNETIC FIELDS,11,F,0.0
19B81A0202,R1921025,THERMAL AND HYDRO PRIME MOVERS,11,F,0.0
19B81A0210,R1921025,THERMAL AND HYDRO PRIME MOVERS,11,D,3.0
19B81A0229,R1921021,ELECTRICAL CIRCUIT ANALYSIS - II,15,ABSENT,0.0
19B81A0229,R1921025,THERMAL AND HYDRO PRIME MOVERS,10,F,0.0
19B81A0233,R1921022,ELECTRICAL MACHINES-I,12,B,3.0
19B81A0233,R1921025,THERMAL AND HYDRO PRIME MOVERS,14,F,0.0
19B81A0243,R1921021,ELECTRICAL CIRCUIT ANALYSIS - II,15,F,0.0
19B81A0243,R1921024,ELECTRO MAGNETIC FIELDS,10,F,0.0
19B81A0256,R1921025,THERMAL AND HYDRO PRIME MOVERS,15,F,0.0
19B81A0272,R1921022,ELECTRICAL MACHINES-I,15,ABSENT,0.0
19B81A0272,R1921023,ELECTRONIC DEVICES AND CIRCUITS,14,F,0.0
19B81A0272,R1921025,THERMAL AND HYDRO PRIME MOVERS,11,ABSENT,0.0
19B81A0274,R1921025,THERMAL AND HYDRO PRIME MOVERS,12,F,0.0
19B81A0275,R1921021,ELECTRICAL CIRCUIT ANALYSIS - II,5,F,0.0
19B81A0275,R1921022,ELECTRICAL MACHINES-I,5,F,0.0
19B81A0275,R1921023,ELECTRONIC DEVICES AND CIRCUITS,5,ABSENT,0.0
19B81A0275,R1921024,ELECTRO MAGNETIC FIELDS,5,ABSENT,0.0
19B81A0275,R1921025,THERMAL AND HYDRO PRIME MOVERS,5,ABSENT,0.0
19B81A0275,R1921026,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,5,ABSENT,0.0
19B81A0276,R1921024,ELECTRO MAGNETIC FIELDS,15,F,0.0
19B81A0276,R1921025,THERMAL AND HYDRO PRIME MOVERS,10,F,0.0
19B81A0279,R1921021,ELECTRICAL CIRCUIT ANALYSIS - II,13,D,3.0
19B81A0279,R1921025,THERMAL AND HYDRO PRIME MOVERS,14,D,3.0
19B81A0284,R1921022,ELECTRICAL MACHINES-I,15,F,0.0
19B81A0284,R1921023,ELECTRONIC DEVICES AND CIRCUITS,16,D,3.0
19B81A0284,R1921024,ELECTRO MAGNETIC FIELDS,9,F,0.0
19B81A0284,R1921025,THERMAL AND HYDRO PRIME MOVERS,10,F,0.0
19B81A0284,R1921026,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,14,F,0.0
19B81A0287,R1921022,ELECTRICAL MACHINES-I,8,F,0.0
19B81A0287,R1921023,ELECTRONIC DEVICES AND CIRCUITS,10,F,0.0
19B81A0287,R1921024,ELECTRO MAGNETIC FIELDS,9,ABSENT,0.0
19B81A0287,R1921025,THERMAL AND HYDRO PRIME MOVERS,8,F,0.0
19B81A0302,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,18,C,3.0
19B81A0303,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,20,F,0.0
19B81A0303,R1921032,MECHANICS OF SOLIDS,12,F,0.0
19B81A0303,R1921034,PRODUCTION TECHNOLOGY,16,F,0.0
19B81A0303,R1921035,THERMODYNAMICS,13,F,0.0
19B81A0304,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,18,F,0.0
19B81A0304,R1921032,MECHANICS OF SOLIDS,15,D,3.0
19B81A0304,R1921034,PRODUCTION TECHNOLOGY,14,D,3.0
19B81A0304,R1921035,THERMODYNAMICS,15,F,0.0
19B81A0307,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,17,F,0.0
19B81A0309,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,18,B,3.0
19B81A0311,R1921035,THERMODYNAMICS,18,F,0.0
19B81A0316,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,13,C,3.0
19B81A0316,R1921032,MECHANICS OF SOLIDS,14,D,3.0
19B81A0322,R1921032,MECHANICS OF SOLIDS,8,F,0.0
19B81A0322,R1921033,MATERIAL SCIENCE & METALLURGY,9,F,0.0
19B81A0322,R1921034,PRODUCTION TECHNOLOGY,11,F,0.0
19B81A0324,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,19,C,3.0
19B81A0327,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,16,C,3.0
19B81A0328,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,17,B,3.0
19B81A0330,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,18,F,0.0
19B81A0330,R1921032,MECHANICS OF SOLIDS,15,D,3.0
19B81A0330,R1921033,MATERIAL SCIENCE & METALLURGY,15,F,0.0
19B81A0331,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,12,ABSENT,0.0
19B81A0331,R1921032,MECHANICS OF SOLIDS,11,ABSENT,0.0
19B81A0331,R1921033,MATERIAL SCIENCE & METALLURGY,13,F,0.0
19B81A0331,R1921035,THERMODYNAMICS,10,F,0.0
19B81A0331,R1921036,MACHINE DRAWING,12,F,0.0
19B81A0334,R1921032,MECHANICS OF SOLIDS,12,ABSENT,0.0
19B81A0336,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,17,A,3.0
19B81A0337,R1921032,MECHANICS OF SOLIDS,13,C,3.0
19B81A0338,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,18,A,3.0
19B81A0340,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,19,A,3.0
19B81A0343,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,16,A,3.0
19B81A0343,R1921034,PRODUCTION TECHNOLOGY,11,F,0.0
19B81A0343,R1921035,THERMODYNAMICS,10,F,0.0
19B81A0344,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,16,F,0.0
19B81A0346,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,19,F,0.0
19B81A0346,R1921032,MECHANICS OF SOLIDS,11,C,3.0
19B81A0348,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,17,F,0.0
19B81A0350,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,15,F,0.0
19B81A0350,R1921033,MATERIAL SCIENCE & METALLURGY,14,F,0.0
19B81A0350,R1921035,THERMODYNAMICS,15,F,0.0
19B81A0352,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,17,F,0.0
19B81A0352,R1921032,MECHANICS OF SOLIDS,10,C,3.0
19B81A0354,R1921034,PRODUCTION TECHNOLOGY,12,D,3.0
19B81A0355,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,19,ABSENT,0.0
19B81A0355,R1921032,MECHANICS OF SOLIDS,9,ABSENT,0.0
19B81A0355,R1921034,PRODUCTION TECHNOLOGY,13,F,0.0
19B81A0360,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,14,F,0.0
19B81A0360,R1921032,MECHANICS OF SOLIDS,11,F,0.0
19B81A0360,R1921034,PRODUCTION TECHNOLOGY,13,F,0.0
19B81A0360,R1921035,THERMODYNAMICS,13,F,0.0
19B81A0365,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,16,F,0.0
19B81A0365,R1921032,MECHANICS OF SOLIDS,11,D,3.0
19B81A0365,R1921034,PRODUCTION TECHNOLOGY,13,F,0.0
19B81A0367,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,16,F,0.0
19B81A0367,R1921032,MECHANICS OF SOLIDS,11,ABSENT,0.0
19B81A0367,R1921034,PRODUCTION TECHNOLOGY,11,ABSENT,0.0
19B81A0367,R1921035,THERMODYNAMICS,13,ABSENT,0.0
19B81A0368,R1921034,PRODUCTION TECHNOLOGY,17,C,3.0
19B81A0369,R1921031,VECTOR CALCULUS & FOURIER TRANSFORMS,12,F,0.0
19B81A0369,R1921032,MECHANICS OF SOLIDS,10,F,0.0
19B81A0404,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,F,0.0
19B81A0407,R1921041,ELECTRONIC DEVICES AND CIRCUITS,12,ABSENT,0.0
19B81A0414,R1921043,SIGNALS AND SYSTEMS,14,C,3.0
19B81A0424,R1921043,SIGNALS AND SYSTEMS,12,D,3.0
19B81A0430,R1921043,SIGNALS AND SYSTEMS,17,C,3.0
19B81A0432,R1921041,ELECTRONIC DEVICES AND CIRCUITS,13,F,0.0
19B81A0432,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,17,F,0.0
19B81A0434,R1921043,SIGNALS AND SYSTEMS,12,C,3.0
19B81A0441,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,D,3.0
19B81A0446,R1921043,SIGNALS AND SYSTEMS,11,D,3.0
